vtaxid,prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,pred_label
1523285,0.0975,0.8672,0.0155,0.0198,faecal-oral
1523287,0.0975,0.8672,0.0155,0.0198,faecal-oral
1523288,0.0975,0.8672,0.0155,0.0198,faecal-oral
1523289,0.0975,0.8672,0.0155,0.0198,faecal-oral
1525176,0.0975,0.8672,0.0155,0.0198,faecal-oral
1525177,0.0975,0.8672,0.0155,0.0198,faecal-oral
1525178,0.0975,0.8672,0.0155,0.0198,faecal-oral
1525179,0.0975,0.8672,0.0155,0.0198,faecal-oral
1530251,0.0975,0.8672,0.0155,0.0198,faecal-oral
1569923,0.1040,0.8615,0.0153,0.0192,faecal-oral
1602211,0.0975,0.8672,0.0155,0.0198,faecal-oral
1608040,0.0975,0.8672,0.0155,0.0198,faecal-oral
1609130,0.0975,0.8672,0.0155,0.0198,faecal-oral
1609131,0.0975,0.8672,0.0155,0.0198,faecal-oral
1615798,0.0975,0.8672,0.0155,0.0198,faecal-oral
164250,0.2405,0.4870,0.1691,0.1034,faecal-oral
1678146,0.0975,0.8672,0.0155,0.0198,faecal-oral
1679172,0.0975,0.8672,0.0155,0.0198,faecal-oral
1714296,0.0975,0.8672,0.0155,0.0198,faecal-oral
1714297,0.0995,0.8702,0.0153,0.0150,faecal-oral
1714298,0.0975,0.8672,0.0155,0.0198,faecal-oral
1714360,0.0975,0.8672,0.0155,0.0198,faecal-oral
1714361,0.0975,0.8672,0.0155,0.0198,faecal-oral
178530,0.0975,0.8672,0.0155,0.0198,faecal-oral
1803959,0.1029,0.8559,0.0128,0.0283,faecal-oral
1803961,0.0870,0.8528,0.0229,0.0374,faecal-oral
1884453,0.0730,0.8708,0.0173,0.0389,faecal-oral
1899067,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899068,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899069,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899070,0.0975,0.8672,0.0155,0.0198,faecal-oral
