feature,class,shap_importance
Q93088,direct contact,0.006137589874923828
Q96HA8,direct contact,0.006131426369076365
Q92574,direct contact,0.00610890729661735
P84103,direct contact,0.006108100442906415
P27449,faecal-oral,0.006106126417082796
P14921,vector,0.006102196512114096
P34741,faecal-oral,0.0060870340025260625
Q96A08,direct contact,0.0060573436779301605
Q15907,respiratory,0.006000530000566703
Q8WYQ5,direct contact,0.005988394713822453
O75340,direct contact,0.005987980565209346
O60232,direct contact,0.005975610905264081
Q13315,faecal-oral,0.0059753234815675006
P14316,vector,0.005949321488720946
P68871,vector,0.005946752066247139
Q15303,vector,0.005942989023271188
Q9ULV4,direct contact,0.005929685136278712
P28335,direct contact,0.005928702277870934
Q9H8Y8,vector,0.005927575091805286
Q9UKB1,faecal-oral,0.005907843034786792
Q9UI47,direct contact,0.005883865931416655
Q9BYJ9,direct contact,0.00585586888476178
P13647,vector,0.005849485310776257
Q9H0U4,vector,0.005840980888956561
Q9GZT6,faecal-oral,0.005831104989220763
P46778,direct contact,0.005807498384898967
Q96RP9,vector,0.005796537655878387
Q2TAC2,direct contact,0.005791761816899187
Q9Y2V7,faecal-oral,0.0057824815422168946
P16234,faecal-oral,0.005766002815709556
Q96JK2,respiratory,0.005759590974488857
P49790,direct contact,0.005713989931887815
O95684,respiratory,0.005701672673806916
P35269,direct contact,0.0056931233526823204
O60232,vector,0.005684544476424223
Q15303,faecal-oral,0.005679377799368195
Q9NS73,vector,0.0056630358870573315
O15514,faecal-oral,0.005639975896522001
Q16512,faecal-oral,0.005632936456685624
P31948,direct contact,0.00560875944653482
P14316,direct contact,0.005571573787265255
O95684,vector,0.005569555384805202
Q9NV70,vector,0.005566504536297802
Q9HCN8,faecal-oral,0.005562582575849737
P05109,respiratory,0.005542487826812809
Q9Y2V7,vector,0.005540526935088384
P17066,vector,0.005522623053063466
P31151,respiratory,0.005504715473416087
Q15942,respiratory,0.0054819746957310705
P02766,vector,0.005462824763620781
O75478,respiratory,0.005434767688840811
Q15262,direct contact,0.005433645495415936
P04626,vector,0.0054256227226707225
O00459,vector,0.005422126283728763
Q9HBL7,direct contact,0.005421371649172371
Q15428,vector,0.005410115642093095
P52815,respiratory,0.0054073744262692625
Q96KR1,faecal-oral,0.005389366104241476
Q14676,direct contact,0.005386246368972787
P62834,direct contact,0.005355599439775603
Q86U86,direct contact,0.005340206996631715
O14641,direct contact,0.00532368162608236
Q15139,respiratory,0.0053193180389804855
Q86WK6,direct contact,0.005314719510595873
Q99442,faecal-oral,0.005310468187997678
P14735,faecal-oral,0.005299937886691595
Q9UM47,respiratory,0.005272884798705737
P78347,vector,0.005266718167786029
Q15596,vector,0.005258171183602198
Q86XX4,direct contact,0.005241670483803032
Q00987,respiratory,0.005236213949303275
P54707,direct contact,0.005228869917138428
O43765,direct contact,0.005217170966894623
Q14160,direct contact,0.005214892277239065
Q96HA8,vector,0.0052117948843348975
P98170,vector,0.0052078337352965635
P10147,vector,0.00520312742391993
P63252,vector,0.005194423248231777
P55081,direct contact,0.005193862411852158
Q8TBB1,direct contact,0.005187827158639767
O14617,vector,0.005187341289346356
Q14161,direct contact,0.005186976375441833
