prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,taxid,true,pred
0.1279680192341004,0.06076452673865501,0.7025143975184535,0.10875305650879154,3052496,respiratory,respiratory
0.10465651683526236,0.08188530619323582,0.034422257483510785,0.779035919487991,37124,vector,vector
0.8883038600123981,0.029119856420616576,0.05281202049244719,0.029764263074538087,338079,direct contact,direct contact
0.2825581005399493,0.0838625653353042,0.20471522899376282,0.4288641051309836,1972579,vector,vector
0.10740161249786816,0.021866532461523307,0.022094600980025702,0.8486372540605829,3048184,direct contact,vector
0.5272838139871295,0.3954938717190014,0.021495294061171975,0.0557270202326972,11983,faecal-oral,direct contact
0.1476480348713394,0.0628373025272587,0.13416300744071455,0.6553516551606874,11569,vector,vector
0.10978321848817324,0.04807811095507828,0.025060862505991453,0.8170778080507569,3048215,vector,vector
0.10078283245411858,0.030135747898296514,0.7278060772779749,0.14127534236961029,3052331,respiratory,respiratory
0.08928762476008441,0.05409892772383438,0.024034258300307764,0.8325791892157733,60875,vector,vector
0.919911484879211,0.0246066309055789,0.00849164447754421,0.04699023973766579,3052556,direct contact,direct contact
0.14093157537539694,0.02526022676115928,0.0596278228374431,0.7741803750260008,3047837,vector,vector
0.20761174602224025,0.6174107736488662,0.09403097841747406,0.08094650191141961,2003652,faecal-oral,faecal-oral
0.3058514551130938,0.4196493215612582,0.07230009234288447,0.20219913098276304,1239573,faecal-oral,faecal-oral
0.05968989912575443,0.030754405034766688,0.019097310648524206,0.8904583851909544,3052413,vector,vector
0.15422818417746195,0.033530043756249586,0.022142199870873663,0.7900995721954147,3052466,vector,vector
0.7640682903854228,0.06232862530972248,0.05310441038884495,0.12049867391600982,90961,direct contact,direct contact
0.31288475538371124,0.41994364009667096,0.12093641602823968,0.14623518849137823,138949,direct contact,faecal-oral
0.7622689400696375,0.014167754251989179,0.017528210556271448,0.20603509512210177,3052342,direct contact,direct contact
0.03346062825457908,0.06374604926801244,0.346558453512573,0.5562348689648354,3052431,vector,vector
0.07629564173758195,0.02098095405584044,0.022558188784302408,0.880165215422275,60876,vector,vector
0.1400951540628212,0.045455508067136594,0.06044454324583786,0.7540047946242044,3052468,vector,vector
0.12765247107541167,0.07224382484360065,0.5890357138017377,0.21106799027924994,3052480,respiratory,respiratory
0.12369338892563846,0.1532971308660835,0.08511880963879372,0.6378906705694841,3052440,vector,vector
0.0826111025458352,0.025957797906758374,0.015496200674262188,0.875934898873144,2083198,vector,vector
0.8927985138358826,0.029247097225545506,0.01755007164155948,0.06040431729701225,3052225,direct contact,direct contact
0.029712148382044466,0.24890294260970006,0.7029869108798005,0.018397998128455162,694009,direct contact,respiratory
0.1024124844722366,0.7607308689231388,0.057197790321411326,0.0796588562832131,28875,faecal-oral,faecal-oral
0.022324811575727355,0.23479153654702248,0.7326386085324714,0.010245043344778831,277944,respiratory,respiratory
