prob_2,prob_3,prob_4,true,pred
0.6836723726439238,0.3163276273560761,0.0,2,2
1.0,0.0,0.0,2,2
0.31840101310878255,0.6815989868912175,0.0,3,3
1.0,0.0,0.0,2,2
0.6407439528633396,0.3592560471366604,0.0,2,2
0.0,0.0,1.0,4,4
0.0,0.0,1.0,4,4
0.6726503945833135,0.0,0.3273496054166864,2,2
1.0,0.0,0.0,2,2
1.0,0.0,0.0,2,2
0.6262646046773251,0.3737353953226749,0.0,2,2
0.0,0.6733883745350335,0.32661162546496636,2,3
0.31710275311084163,0.0,0.6828972468891583,4,4
0.0,0.0,1.0,4,4
0.35746501551036614,0.6425349844896339,0.0,3,3
0.31240284423673886,0.0,0.6875971557632611,2,4
0.6583449620318486,0.3416550379681514,0.0,2,2
0.3414561638814256,0.32252176625458895,0.33602206986398553,3,2
1.0,0.0,0.0,3,2
0.0,0.0,1.0,4,4
0.0,0.0,1.0,4,4
0.6452170403288898,0.0,0.3547829596711102,2,2
0.29969682859067354,0.7003031714093264,0.0,3,3
0.37788981398970345,0.0,0.6221101860102964,4,4
1.0,0.0,0.0,2,2
0.3297499532750417,0.0,0.6702500467249582,4,4
1.0,0.0,0.0,2,2
0.6747793166484187,0.3252206833515813,0.0,2,2
0.6170374448238376,0.0,0.38296255517616246,4,2
1.0,0.0,0.0,2,2
1.0,0.0,0.0,2,2
0.30308621701736177,0.6969137829826383,0.0,2,3
