prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,taxid,true,pred
0.021089054733415918,0.2061116529536919,0.02458786821402225,0.07813241311729044,0.03204136020863521,0.6380376507729443,2955291,3,5
0.03321652382428448,0.13827729896562357,0.03505255826640605,0.04308232063824905,0.029184314145044774,0.721186984160392,3052413,5,5
0.79475527600877,0.025063723523852593,0.08018697669761216,0.044202737685924316,0.03333775684611147,0.02245352923772971,1239572,0,0
0.05403222996123846,0.14440819447528522,0.04337506419280402,0.0411703848378472,0.5662484222498781,0.15076570428294675,3052459,5,4
0.016861792902778946,0.25732389574673387,0.043398360980759866,0.01703772252239979,0.030553679518065258,0.6348245483292623,3048287,1,5
0.05844655089165197,0.16913408171055877,0.3985157623614908,0.03385713553813604,0.025847208418337948,0.3141992610798244,3052619,2,2
0.01598555620233721,0.16809713282060465,0.03837281670499053,0.01280742590058874,0.03520584362736629,0.7295312247441126,3046277,4,5
0.06110294555573171,0.14122679115374415,0.1651380423867761,0.04777170904240439,0.056874188402919516,0.5278863234584237,3052381,5,5
0.1682023647409963,0.058442308825903684,0.61336771638818,0.07454344049818308,0.032368785550194665,0.05307538399654208,194443,2,2
0.05260554668559018,0.14186108374307227,0.02228476386346714,0.042033811530033764,0.549084282487897,0.19213051168993944,3052462,4,4
0.059391227155664576,0.12753942002669572,0.37213067134911726,0.17270351812330298,0.0408400842244929,0.2273950791207268,204269,1,2
0.017973638530263864,0.35899447767198744,0.04202316072195348,0.01583985512620693,0.23394368882132058,0.3312251791282678,3052676,4,1
0.24132903810901343,0.04388067147002508,0.573082719314536,0.07658500022221552,0.023468722579083882,0.04165384830512624,194441,2,2
0.05139644555043708,0.10595047373271291,0.37614944963535113,0.01739315794203582,0.311003935144794,0.13810653799466852,3052498,2,4
0.015833182912268123,0.15428162572046558,0.02627664972777838,0.047161519339896193,0.03567554831709142,0.7207714739825003,3052396,5,5
0.009350955122800292,0.23565117023683466,0.043711692440764366,0.005244900774529829,0.10298162171011234,0.6030596597149587,1972574,5,5
0.7779207946823217,0.04764187584178906,0.0449966430501698,0.05029733255544432,0.05192861609380604,0.027214737776469086,1330491,0,0
0.007032968017505202,0.46031027762940413,0.025414380860113973,0.010295093279464575,0.1145775395314317,0.3823697406820801,38767,1,1
0.018001231833008138,0.48073641985015203,0.036490432063955906,0.016266585860896125,0.041172628630785905,0.40733270176120157,3048448,1,1
0.04448597967215128,0.19445592016726532,0.030899461312283178,0.06388296351853515,0.6041075614692336,0.06216811386053182,2169991,4,4
0.02109430811164729,0.4019641378959652,0.03922480385003769,0.0209762514756111,0.03925847340345857,0.4774820252632803,3047385,5,1
0.011107414770009559,0.17817178596330616,0.05552521889402052,0.010566192213954578,0.07081001701455907,0.6738193711441497,1933190,5,5
0.024219738318556724,0.09461604018530681,0.04328464780731003,0.6493714217314852,0.021570709551422304,0.16693744240591882,3048148,3,3
0.028946743578070394,0.1305100457493482,0.03283303986691173,0.15030163422749407,0.3316018817820548,0.3258066547961202,3052558,5,4
0.017097215559919023,0.19984252966880942,0.04228189760015344,0.1304969655715778,0.0781839399164777,0.5320974516830627,1987018,5,5
0.2324206640985727,0.07656670329215216,0.0388991831813402,0.4226491603652327,0.033417040341649606,0.19604724872105284,138950,0,3
0.5840365677686935,0.03047139508853484,0.2649620810921261,0.08228324720120034,0.016691660020121676,0.021555048829323672,72149,0,0
0.01174205080258939,0.3021648728606519,0.06870510891067731,0.01474862081310507,0.03557995225890377,0.5670593943540723,11569,1,5
0.2869206752069574,0.15785750419875344,0.05518699337100648,0.025590195320638456,0.31598712695057113,0.15845750495207284,2748762,5,4
0.10539960588263539,0.3479375413293451,0.10055354890005411,0.07047558528699321,0.04605098249267671,0.32958273610829536,12110,3,1
